ID	Study	Group	Time	Stressor	Batch
Av_8h_NaF_1_1.txt	WangZhenghua	Actinomyces viscosus	8h	NaF	1
Av_8h_NaF_1_2.txt	WangZhenghua	Actinomyces viscosus	8h	NaF	1
Av_8h_NaF_1_3.txt	WangZhenghua	Actinomyces viscosus	8h	NaF	1
Av_8h_NaF_1_4.txt	WangZhenghua	Actinomyces viscosus	8h	NaF	1
Av_8h_NaF_1_5.txt	WangZhenghua	Actinomyces viscosus	8h	NaF	1
Av_8h_NaF_1_6.txt	WangZhenghua	Actinomyces viscosus	8h	NaF	1
Av_8h_NaF_1_7.txt	WangZhenghua	Actinomyces viscosus	8h	NaF	1
Av_8h_NaF_1_8.txt	WangZhenghua	Actinomyces viscosus	8h	NaF	1
Av_8h_NaF_1_9.txt	WangZhenghua	Actinomyces viscosus	8h	NaF	1
Av_8h_NaF_1_10.txt	WangZhenghua	Actinomyces viscosus	8h	NaF	1
Av_8h_NaF_1_11.txt	WangZhenghua	Actinomyces viscosus	8h	NaF	1
Av_8h_NaF_1_12.txt	WangZhenghua	Actinomyces viscosus	8h	NaF	1
Av_8h_NaF_1_13.txt	WangZhenghua	Actinomyces viscosus	8h	NaF	1
Av_8h_NaF_1_14.txt	WangZhenghua	Actinomyces viscosus	8h	NaF	1
Av_8h_NaF_1_15.txt	WangZhenghua	Actinomyces viscosus	8h	NaF	1
Av_8h_NaF_1_16.txt	WangZhenghua	Actinomyces viscosus	8h	NaF	1
Av_8h_NaF_1_17.txt	WangZhenghua	Actinomyces viscosus	8h	NaF	1
Av_8h_NaF_1_18.txt	WangZhenghua	Actinomyces viscosus	8h	NaF	1
Av_8h_NaF_1_19.txt	WangZhenghua	Actinomyces viscosus	8h	NaF	1
Av_8h_NaF_1_20.txt	WangZhenghua	Actinomyces viscosus	8h	NaF	1
Av_8h_NaF_1_21.txt	WangZhenghua	Actinomyces viscosus	8h	NaF	1
Av_8h_NaF_1_22.txt	WangZhenghua	Actinomyces viscosus	8h	NaF	1
Av_8h_NaF_1_23.txt	WangZhenghua	Actinomyces viscosus	8h	NaF	1
Av_8h_NaF_1_24.txt	WangZhenghua	Actinomyces viscosus	8h	NaF	1
Av_8h_SnF2_1_1.txt	WangZhenghua	Actinomyces viscosus	8h	SnF2	1
Av_8h_SnF2_1_2.txt	WangZhenghua	Actinomyces viscosus	8h	SnF2	1
Av_8h_SnF2_1_3.txt	WangZhenghua	Actinomyces viscosus	8h	SnF2	1
Av_8h_SnF2_1_4.txt	WangZhenghua	Actinomyces viscosus	8h	SnF2	1
Av_8h_SnF2_1_5.txt	WangZhenghua	Actinomyces viscosus	8h	SnF2	1
Av_8h_SnF2_1_6.txt	WangZhenghua	Actinomyces viscosus	8h	SnF2	1
Av_8h_SnF2_1_7.txt	WangZhenghua	Actinomyces viscosus	8h	SnF2	1
Av_8h_SnF2_1_8.txt	WangZhenghua	Actinomyces viscosus	8h	SnF2	1
Av_8h_SnF2_1_9.txt	WangZhenghua	Actinomyces viscosus	8h	SnF2	1
Av_8h_SnF2_1_11.txt	WangZhenghua	Actinomyces viscosus	8h	SnF2	1
Av_8h_SnF2_1_12.txt	WangZhenghua	Actinomyces viscosus	8h	SnF2	1
Av_8h_SnF2_1_13.txt	WangZhenghua	Actinomyces viscosus	8h	SnF2	1
Av_8h_SnF2_1_14.txt	WangZhenghua	Actinomyces viscosus	8h	SnF2	1
Av_8h_SnF2_1_15.txt	WangZhenghua	Actinomyces viscosus	8h	SnF2	1
Av_8h_SnF2_1_16.txt	WangZhenghua	Actinomyces viscosus	8h	SnF2	1
Av_8h_SnF2_1_17.txt	WangZhenghua	Actinomyces viscosus	8h	SnF2	1
Av_8h_SnF2_1_18.txt	WangZhenghua	Actinomyces viscosus	8h	SnF2	1
Av_8h_SnF2_1_19.txt	WangZhenghua	Actinomyces viscosus	8h	SnF2	1
Av_8h_C_1_1.txt	WangZhenghua	Actinomyces viscosus	8h	C	1
Av_8h_C_1_2.txt	WangZhenghua	Actinomyces viscosus	8h	C	1
Av_8h_C_1_3.txt	WangZhenghua	Actinomyces viscosus	8h	C	1
Av_8h_C_1_4.txt	WangZhenghua	Actinomyces viscosus	8h	C	1
Av_8h_C_1_5.txt	WangZhenghua	Actinomyces viscosus	8h	C	1
Av_8h_C_1_6.txt	WangZhenghua	Actinomyces viscosus	8h	C	1
Av_8h_C_1_7.txt	WangZhenghua	Actinomyces viscosus	8h	C	1
Av_8h_C_1_8.txt	WangZhenghua	Actinomyces viscosus	8h	C	1
Av_8h_C_1_9.txt	WangZhenghua	Actinomyces viscosus	8h	C	1
Av_8h_C_1_10.txt	WangZhenghua	Actinomyces viscosus	8h	C	1
Av_8h_C_1_11.txt	WangZhenghua	Actinomyces viscosus	8h	C	1
Av_8h_C_1_12.txt	WangZhenghua	Actinomyces viscosus	8h	C	1
Av_8h_C_1_13.txt	WangZhenghua	Actinomyces viscosus	8h	C	1
Av_8h_C_1_14.txt	WangZhenghua	Actinomyces viscosus	8h	C	1
Av_8h_C_1_15.txt	WangZhenghua	Actinomyces viscosus	8h	C	1
Av_8h_C_1_16.txt	WangZhenghua	Actinomyces viscosus	8h	C	1
Av_8h_C_1_17.txt	WangZhenghua	Actinomyces viscosus	8h	C	1
Av_8h_C_1_18.txt	WangZhenghua	Actinomyces viscosus	8h	C	1
Av_8h_C_1_19.txt	WangZhenghua	Actinomyces viscosus	8h	C	1
Av_8h_C_1_20.txt	WangZhenghua	Actinomyces viscosus	8h	C	1
Av_8h_C_1_21.txt	WangZhenghua	Actinomyces viscosus	8h	C	1
Av_8h_C_1_22.txt	WangZhenghua	Actinomyces viscosus	8h	C	1
Av_8h_C_1_23.txt	WangZhenghua	Actinomyces viscosus	8h	C	1
Av_8h_C_1_24.txt	WangZhenghua	Actinomyces viscosus	8h	C	1
Av_8h_C_1_25.txt	WangZhenghua	Actinomyces viscosus	8h	C	1
