ID	Study	Group	Time	Stressor	Batch
SnF2_0h_ (1).txt	WangZhenghua	Actinomyces viscosus	0h	SnF2	1
SnF2_0h_ (2).txt	WangZhenghua	Actinomyces viscosus	0h	SnF2	1
SnF2_0h_ (3).txt	WangZhenghua	Actinomyces viscosus	0h	SnF2	1
SnF2_0h_ (4).txt	WangZhenghua	Actinomyces viscosus	0h	SnF2	1
SnF2_0h_ (5).txt	WangZhenghua	Actinomyces viscosus	0h	SnF2	1
SnF2_0h_ (6).txt	WangZhenghua	Actinomyces viscosus	0h	SnF2	1
SnF2_0h_ (7).txt	WangZhenghua	Actinomyces viscosus	0h	SnF2	1
SnF2_0h_ (8).txt	WangZhenghua	Actinomyces viscosus	0h	SnF2	1
SnF2_0h_ (9).txt	WangZhenghua	Actinomyces viscosus	0h	SnF2	1
SnF2_0h_ (10).txt	WangZhenghua	Actinomyces viscosus	0h	SnF2	1
SnF2_0h_ (11).txt	WangZhenghua	Actinomyces viscosus	0h	SnF2	1
SnF2_0h_ (12).txt	WangZhenghua	Actinomyces viscosus	0h	SnF2	1
SnF2_0h_ (13).txt	WangZhenghua	Actinomyces viscosus	0h	SnF2	1
SnF2_0h_ (14).txt	WangZhenghua	Actinomyces viscosus	0h	SnF2	1
SnF2_0h_ (15).txt	WangZhenghua	Actinomyces viscosus	0h	SnF2	1
SnF2_0h_ (16).txt	WangZhenghua	Actinomyces viscosus	0h	SnF2	1
SnF2_0h_ (17).txt	WangZhenghua	Actinomyces viscosus	0h	SnF2	1
SnF2_0h_ (18).txt	WangZhenghua	Actinomyces viscosus	0h	SnF2	1
SnF2_0h_ (19).txt	WangZhenghua	Actinomyces viscosus	0h	SnF2	1
SnF2_0h_ (20).txt	WangZhenghua	Actinomyces viscosus	0h	SnF2	1
SnF2_0h_ (21).txt	WangZhenghua	Actinomyces viscosus	0h	SnF2	1
SnF2_0h_ (22).txt	WangZhenghua	Actinomyces viscosus	0h	SnF2	1
SnF2_0h_ (23).txt	WangZhenghua	Actinomyces viscosus	0h	SnF2	1
SnF2_0h_ (24).txt	WangZhenghua	Actinomyces viscosus	0h	SnF2	1
SnF2_0h_ (25).txt	WangZhenghua	Actinomyces viscosus	0h	SnF2	1
NaF_0h_ (1).txt	WangZhenghua	Actinomyces viscosus	0h	NaF	1
NaF_0h_ (2).txt	WangZhenghua	Actinomyces viscosus	0h	NaF	1
NaF_0h_ (3).txt	WangZhenghua	Actinomyces viscosus	0h	NaF	1
NaF_0h_ (4).txt	WangZhenghua	Actinomyces viscosus	0h	NaF	1
NaF_0h_ (5).txt	WangZhenghua	Actinomyces viscosus	0h	NaF	1
NaF_0h_ (6).txt	WangZhenghua	Actinomyces viscosus	0h	NaF	1
NaF_0h_ (7).txt	WangZhenghua	Actinomyces viscosus	0h	NaF	1
NaF_0h_ (8).txt	WangZhenghua	Actinomyces viscosus	0h	NaF	1
NaF_0h_ (9).txt	WangZhenghua	Actinomyces viscosus	0h	NaF	1
NaF_0h_ (10).txt	WangZhenghua	Actinomyces viscosus	0h	NaF	1
NaF_0h_ (11).txt	WangZhenghua	Actinomyces viscosus	0h	NaF	1
NaF_0h_ (12).txt	WangZhenghua	Actinomyces viscosus	0h	NaF	1
NaF_0h_ (13).txt	WangZhenghua	Actinomyces viscosus	0h	NaF	1
NaF_0h_ (14).txt	WangZhenghua	Actinomyces viscosus	0h	NaF	1
NaF_0h_ (15).txt	WangZhenghua	Actinomyces viscosus	0h	NaF	1
NaF_0h_ (16).txt	WangZhenghua	Actinomyces viscosus	0h	NaF	1
NaF_0h_ (17).txt	WangZhenghua	Actinomyces viscosus	0h	NaF	1
NaF_0h_ (18).txt	WangZhenghua	Actinomyces viscosus	0h	NaF	1
NaF_0h_ (19).txt	WangZhenghua	Actinomyces viscosus	0h	NaF	1
NaF_0h_ (20).txt	WangZhenghua	Actinomyces viscosus	0h	NaF	1
NaF_0h_ (21).txt	WangZhenghua	Actinomyces viscosus	0h	NaF	1
NaF_0h_ (22).txt	WangZhenghua	Actinomyces viscosus	0h	NaF	1
NaF_0h_ (23).txt	WangZhenghua	Actinomyces viscosus	0h	NaF	1
NaF_0h_ (24).txt	WangZhenghua	Actinomyces viscosus	0h	NaF	1
Control_0h_ (1).txt	WangZhenghua	Actinomyces viscosus	0h	C	1
Control_0h_ (2).txt	WangZhenghua	Actinomyces viscosus	0h	C	1
Control_0h_ (3).txt	WangZhenghua	Actinomyces viscosus	0h	C	1
Control_0h_ (4).txt	WangZhenghua	Actinomyces viscosus	0h	C	1
Control_0h_ (5).txt	WangZhenghua	Actinomyces viscosus	0h	C	1
Control_0h_ (6).txt	WangZhenghua	Actinomyces viscosus	0h	C	1
Control_0h_ (7).txt	WangZhenghua	Actinomyces viscosus	0h	C	1
Control_0h_ (8).txt	WangZhenghua	Actinomyces viscosus	0h	C	1
Control_0h_ (9).txt	WangZhenghua	Actinomyces viscosus	0h	C	1
Control_0h_ (10).txt	WangZhenghua	Actinomyces viscosus	0h	C	1
Control_0h_ (11).txt	WangZhenghua	Actinomyces viscosus	0h	C	1
Control_0h_ (12).txt	WangZhenghua	Actinomyces viscosus	0h	C	1
Control_0h_ (13).txt	WangZhenghua	Actinomyces viscosus	0h	C	1
Control_0h_ (14).txt	WangZhenghua	Actinomyces viscosus	0h	C	1
Control_0h_ (15).txt	WangZhenghua	Actinomyces viscosus	0h	C	1
Control_0h_ (16).txt	WangZhenghua	Actinomyces viscosus	0h	C	1
Control_0h_ (17).txt	WangZhenghua	Actinomyces viscosus	0h	C	1
Control_0h_ (18).txt	WangZhenghua	Actinomyces viscosus	0h	C	1
Control_0h_ (19).txt	WangZhenghua	Actinomyces viscosus	0h	C	1
