ID	m/z	Ion mode	Retention time (min)	SnF2-1	SnF2-2	SnF2-3	NaF-1	NaF-2	NaF-3	control-1	control-2	control-3	Compound ID	Adducts	Formula	Score	Fragmentation Score	¦¤ppm	Metabolites
10.93_953.6410m/z	953.6410095	pos	10.93236667	6753.162156	5217.466185	5288.173829	4952.035744	4701.479709	4911.819102	4643.890175	4689.279384	4525.762893	HMDB0000005	2M-H	C4H6O3	38.6	0	4.808421187	2-Ketobutyric acid
1.22_245.1484m/z	245.1484266	pos	1.224083333	60.18195807	86.82415298	92.22275932	74.38161805	102.3476888	77.61483989	47.45557331	61.15336404	70.72583	HMDB0000010	M+NH4	C19H24O3	35.7	0	-3.046980561	2-Methoxyestrone
1.13_749.1163m/z	749.1163212	neg	1.132933333	41.17788223	68.53237308	26.72266964	0	42.69941618	23.82309595	14.99365219	17.73331934	0	HMDB0000019	M-H	C5H8O3	38.5	0	-1.272198349	Alpha-ketoisovaleric acid
6.85_630.0719m/z	630.0719305	pos	6.85285	364.2160868	234.6705628	375.8750776	367.237154	283.1578167	286.5228577	356.6384994	353.2590702	318.0741669	HMDB0000022	M+NH4	C9H13NO2	37.9	0	0.427485364	3-Methoxytyramine
2.64_591.3398m/z	591.3397949	pos	2.6422	1570.555178	1664.691453	1576.237726	1576.140336	1415.340557	1728.448953	1624.560214	1781.875252	1785.154018	HMDB0000026	M-H	C4H8N2O3	38.4	0	-2.009711636	Ureidopropionic acid
11.59_830.5918m/z	830.5917518	neg	11.59441667	0	498.8313801	121.9788571	264.9913325	316.232268	268.2333471	212.1351125	269.5959232	307.1686984	HMDB0000027	2M+FA-H	C9H15N5O3	33.3	0	-4.043549509	Tetrahydrobiopterin
1.92_403.1831m/z	403.183057	neg	1.916066667	4716.186175	4963.341805	4753.896054	4804.134627	5038.959897	4749.985781	4870.413551	4762.402673	4930.744651	HMDB0000030	M+H	C10H16N2O3S	40.5	20.5	-1.776454249	Biotin
3.74_407.2373m/z	407.2372515	pos	3.74105	2346.026862	3816.754087	2906.983549	2327.629867	3236.046696	3500.389037	3185.594188	3481.832613	3475.962215	HMDB0000031	2M+NH4	C19H30O2	35.3	0	3.672405048	Androsterone
1.21_229.0829m/z	229.0829069	neg	1.214933333	791.542988	943.5973978	846.1141653	765.7605317	856.2307185	833.2555385	753.6564027	749.7011618	734.9378243	HMDB0000033	M-H	C9H14N4O3	48.4	46.8	0.151744687	Carnosine
2.60_967.4711m/z	967.4710671	neg	2.604533333	60.84589889	85.39303875	73.98142088	78.87493664	100.0316448	68.76164439	34.41905446	67.67351929	76.2297666	HMDB0000034	M-H	C5H5N5	38.3	0	-1.058905956	Adenine
9.60_335.2197m/z	335.219696	neg	9.596183333	54.53877587	41.51717034	62.05517398	80.23127911	59.0743263	50.67988557	64.60958656	75.2826031	53.64806106	HMDB0000036	M-H2O-H	C26H45NO7S	39	8.74	0.004623395	Taurocholic acid
2.15_409.1852m/z	409.1851773	pos	2.149333333	3066.560218	3848.079933	3168.914399	3189.80176	3396.718846	3331.496163	3449.965219	3395.089085	3589.931389	HMDB0000037	2M+FA-H	C21H28O5	38	0	-2.912544922	Aldosterone
10.43_513.2480m/z	513.2479893	neg	10.4258	95.01518979	18.07171631	40.27671898	34.98436665	21.44835592	29.35564294	26.97315664	23.42767929	26.49837359	HMDB0000039	2M+H	C4H8O2	38.7	0	-1.465482264	Butyric acid
8.29_268.2631m/z	268.2630594	pos	8.29425	1045.867789	1866.947512	847.4822345	1196.197077	1977.491865	746.8507164	772.6292423	984.4297607	1336.914279	HMDB0000042	2M+FA-H	C2H4O2	48.1	44.5	-2.854369745	Acetic acid
2.74_245.1857m/z	245.1856772	pos	2.739666667	8688.380228	8652.070205	8712.140236	9424.051885	9467.751309	9757.409102	9495.731578	9163.923299	9047.365762	HMDB0000043	M+Na	C5H11NO2	42.1	21.1	-4.715164694	Betaine
5.49_961.5494m/z	961.549355	neg	5.49205	23.08204483	1.269722139	24.78458551	31.15214176	15.67662667	20.35237136	28.04557305	32.43355462	23.79100008	HMDB0000048	M+Na	C12H22O11	37.8	0	-1.037748652	Melibiose
6.44_791.5070m/z	791.5070467	neg	6.4445	31.2253501	56.90197885	27.99674473	29.46149233	31.16372214	23.08510385	21.48458481	25.97593971	24.16540553	HMDB0000053	2M+FA-H	C19H26O2	36.1	0	3.901259169	Androstenedione
1.78_259.0757m/z	259.0757161	neg	1.776066667	6023.386554	5688.296855	6185.827714	6036.078051	6490.780002	6215.229223	6058.534217	5948.90038	6119.345724	HMDB0000061	2M+Na	C10H15N5O10P2	39	0	0.058404375	"Adenosine 3',5'-diphosphate"
8.23_300.2885m/z	300.2884675	pos	8.2302	330.3666678	499.6910414	202.7250987	333.405981	652.2734025	128.3856391	134.0605201	171.1014606	734.1411151	HMDB0000062	M+H	C7H15NO3	44.4	30.8	-3.30123627	L-Carnitine
2.14_401.1616m/z	401.1615556	neg	2.138883333	41.74966118	30.0584473	13.37340338	20.15427413	27.2921496	36.68225604	29.4493383	8.946121359	25.6500904	HMDB0000063	2M+FA-H	C21H30O5	37.5	0.672	-3.112627487	Cortisol
1.28_215.1038m/z	215.1037959	neg	1.275266667	81.85904378	26.62171428	58.98328216	70.41448203	53.76023193	62.59297518	32.75680977	78.66182701	54.88437207	HMDB0000064	M-H2O-H	C4H9N3O2	38.8	0	-0.286181252	Creatine
1.46_221.0924m/z	221.0924136	pos	1.457433333	557.7126056	690.1600612	551.7156665	565.887092	661.604142	591.4695036	589.0767745	571.558972	599.2212854	HMDB0000068	"M-H2O-H, 2M-H"	C9H13NO3	43.1	17.6	-0.637251185	Epinephrine
6.86_554.3682m/z	554.368201	pos	6.863333333	152.6963423	107.4186779	170.5614175	181.2077916	184.4537719	191.1483567	163.3403999	191.705793	199.6372077	HMDB0000070	2M+FA-H	C6H11NO2	38.2	0	1.715408617	Pipecolic acid
8.76_535.3472m/z	535.347218	neg	8.758216667	65.40209291	44.2056794	61.73118862	62.35713259	60.77101595	50.97774798	62.52046465	56.34595296	60.07311962	HMDB0000071	2M+K	C10H12N4O4	38.1	0	-1.704211593	Deoxyinosine
2.59_568.3410m/z	568.3409905	pos	2.586883333	4465.932245	7382.36584	4872.885737	4863.203211	5242.597481	5605.147285	4963.483428	4722.238749	5482.520002	HMDB0000073	2M-H	C8H11NO2	37.9	0	-1.127549425	Dopamine
1.46_155.0825m/z	155.0824562	neg	1.46325	63.81582434	77.41057559	64.25497841	52.38242179	62.12832536	85.79623413	69.53936352	65.2173534	80.8633903	HMDB0000076	M+NH4	C4H6N2O2	38.9	0	0.121201649	Dihydrouracil
9.08_629.4545m/z	629.454526	neg	9.080533333	25.35915506	6.725474386	49.92294501	25.15019824	47.18285806	39.55576627	30.40543379	53.9130104	43.01073937	HMDB0000082	M+K	C9H16N3O14P3	37.1	0	-1.079531458	Cytidine triphosphate
8.39_277.2170m/z	277.2170417	neg	8.389733333	155.9782689	125.5920195	139.3612993	154.8624028	142.406294	131.2032212	137.7434588	138.4082248	129.1673701	HMDB0000085	2M+NH4	C10H13N5O4	39.4	8.09	3.933228466	Deoxyguanosine
9.05_737.4688m/z	737.468834	neg	9.049033333	1200.616641	1027.294781	1251.362525	1097.488377	1132.024817	1042.652049	1245.734694	1196.087584	1199.498307	HMDB0000086	"M+Na, M+K, M+H"	C8H20NO6P	44.9	29.2	-2.273535616	Glycerophosphocholine
4.35_277.0197m/z	277.0197358	neg	4.354766667	51.14389007	28.79459339	46.63750878	39.86286146	31.94962552	44.01369003	37.74560573	43.66013139	35.46565087	HMDB0000094	M-H	C6H8O7	38.5	0	0.325971009	Citric acid
3.59_392.2335m/z	392.2335381	pos	3.588733333	19.5790387	69.44827959	46.38878775	29.78561752	46.41617749	55.57604898	0	19.1446825	63.4354888	HMDB0000099	2M-H	C7H14N2O4S	36.9	0	-4.630693676	L-Cystathionine
3.82_695.3411m/z	695.3411048	pos	3.816216667	2570.232392	2797.961048	2717.731192	2676.572631	2762.71704	2816.496393	2735.626517	2602.789408	2615.722755	HMDB0000107	M+H-2H2O	C6H14O6	37.9	0	-2.320549335	Galactitol
3.68_455.2477m/z	455.2476865	pos	3.675933333	353.9559288	1299.586661	744.8875276	663.3591735	554.4179295	549.4035618	545.892641	628.4114552	652.6639174	HMDB0000118	M+H-2H2O	C9H10O4	37.4	0	-3.59568576	Homovanillic acid
7.02_431.2199m/z	431.219879	neg	7.019133333	292.7309251	178.4714634	231.5705473	263.8095578	222.9830754	274.7233333	284.878064	291.1021788	296.1180879	HMDB0000122	M+Na	C6H12O6	39	2.87	-3.248879127	D-Glucose
9.30_836.5428n	854.5766567	pos	9.304666667	24315.66295	21584.85007	22960.64823	22202.60469	21252.91628	22608.46749	24008.41644	23763.11551	22364.37179	HMDB0000123	M-H	C2H5NO2	38.7	0	-3.066851901	Glycine
