ID	m/z	Ion mode	Retention time (min)	SnF2-1	SnF2-2	SnF2-3	NaF-1	NaF-2	NaF-3	control-1	control-2	control-3	Compound ID	Adducts	Formula	Score	Fragmentation Score	¦¤ppm	Metabolites
1.42_85.0293m/z	85.02932329	neg	1.418433333	4.876550842	2.756348779	6.227509788	3.585389869	4.916296661	3.548984493	5.796454753	3.65298801	7.032046832	HMDB0000008	M-H2O-H	C4H8O3	38.6	0	-1.727139089	Hygromycin B
8.89_645.3406m/z	645.3406398	neg	8.88805	28.63477624	21.05748065	12.43717275	16.55695689	18.58269435	15.62614299	35.66883646	15.60007911	11.99375635	HMDB0000010	2M+FA-H	C19H24O3	38	0.00296	-4.418052635	6-Hydroxymelatonin glucuronide
6.65_318.2067m/z	318.2066682	pos	6.645133333	96.14019935	90.60954007	99.24600038	63.64733311	56.61359471	41.88064904	257.2064513	116.7038205	75.66852552	HMDB0000010	M+NH4	C19H24O3	37.8	0	0.992976309	Grepafloxacin
5.35_710.4603m/z	710.4603193	pos	5.34855	293.9479304	343.0376932	269.9352353	355.0329726	317.2604247	263.9870889	359.3959461	326.8146534	319.1251782	HMDB0000015	2M+NH4	C21H30O4	37.8	0	-3.35795289	N-Acetyl-L-phenylalanine
9.41_678.4736m/z	678.4736094	pos	9.4074	1407.955992	426.4721488	445.9854625	384.8839308	352.3112222	383.0101664	534.1221509	412.9003956	328.0756551	HMDB0000016	2M+NH4	C21H30O3	36	0	1.202562244	Uridine diphosphate-N-acetylglucosamine
2.14_115.0400m/z	115.0399885	neg	2.144233333	5.99533009	1.164622382	5.415237486	6.792806398	5.025236402	3.561503806	2.005076076	6.265169684	2.969618703	HMDB0000019	M-H	C5H8O3	38.6	0	-0.682665595	14S-Methyl-1-octadecene
1.20_131.0460m/z	131.0460187	neg	1.197266667	46.60289236	41.33779711	45.69437145	56.03843307	47.86909409	46.19378503	47.8818053	58.99200979	43.1826736	HMDB0000026	M-H	C4H8N2O3	38.5	0	-1.49148631	"2-decene-4,6,8-triyn-1-al"
1.78_245.0955m/z	245.0954712	pos	1.778566667	88.24371594	65.25787131	92.77061275	74.32268854	81.86855025	62.63001205	160.4969133	92.96770964	53.98693405	HMDB0000030	M+H	C10H16N2O3S	41.9	25.6	0.12854694	3-hydroxy-16-methyl-heptadecanoic acid
1.15_227.1135m/z	227.1135341	pos	1.150516667	60.01188349	64.46165079	68.443693	57.56991562	49.38377849	54.92558505	124.0976043	66.68046424	60.57264487	HMDB0000033	M+H	C9H14N4O3	38.9	0	-1.471149797	N-acetylsphingosine 1-phosphate
1.14_225.0995m/z	225.0994688	neg	1.136783333	137.4683651	148.5869322	157.6028782	158.5553102	200.682319	146.9100779	122.928784	137.3622142	157.6542846	HMDB0000033	M-H	C9H14N4O3	38.5	0	0.684974961	Loquatifolin A
1.29_134.0470m/z	134.0470368	neg	1.291766667	35.3728574	46.71886903	47.46946716	54.5315989	80.02945443	63.57855965	29.88329166	49.00093116	46.03426014	HMDB0000034	M-H	C5H5N5	38.3	0	-1.346952238	Eicosapentaenoic acid
1.23_765.3876m/z	765.3875601	neg	1.230766667	120.8841378	86.47761362	55.86836936	49.38993006	96.12118849	58.63310132	112.5048367	53.10216272	90.35439514	HMDB0000037	2M+FA-H	C21H28O5	37.8	0	2.789129579	Alpha-dihydroartemisinin
3.11_177.1120m/z	177.1119992	pos	3.107716667	1911.274322	929.1762826	623.7277748	888.6325102	308.6248046	492.6120814	2653.412524	986.0961961	664.2172544	HMDB0000039	2M+H	C4H8O2	38.9	0	-0.77356874	Spermine dialdehyde
14.81_165.0406m/z	165.040596	neg	14.80643333	37.9879507	53.03308716	10.69243238	12.00984187	31.20714153	22.26329178	93.56601554	15.84639013	16.64589512	HMDB0000042	2M+FA-H	C2H4O2	49.3	50.6	1.119151394	4-(Glutamylamino) butanoate
2.11_116.0715m/z	116.071521	neg	2.109233333	106.6988055	99.84418552	101.8951894	84.88356187	88.51364674	83.93170032	124.5262428	106.0236765	105.9878898	HMDB0000043	M-H	C5H11NO2	38.4	0	-1.547576454	Fluvoxamine
